generation,fitness,migration_step
88.0,123.63344892651553,0.0
89.0,123.63344892651553,0.0
90.0,123.63344892651553,0.0
91.0,123.63344892651553,0.0
92.0,123.63344892651553,0.0
93.0,123.63344892651553,0.0
94.0,123.63344892651553,0.0
95.0,123.63344892651553,0.0
96.0,123.63344892651553,0.0
97.0,123.63344892651553,0.0
98.0,123.63344892651553,0.0
99.0,123.63344892651553,0.0
100.0,123.63344892651553,0.0
101.0,123.63344892651553,0.0
102.0,123.63344892651553,0.0
103.0,123.63344892651553,0.0
104.0,123.63344892651553,0.0
105.0,123.63344892651553,0.0
106.0,123.63344892651553,0.0
107.0,123.63344892651553,0.0
108.0,123.63344892651553,0.0
109.0,123.63344892651553,0.0
110.0,123.63344892651553,0.0
111.0,123.63344892651553,0.0
112.0,123.63344892651553,0.0
113.0,123.63344892651553,0.0
114.0,123.63344892651553,0.0
115.0,123.63344892651553,0.0
116.0,123.63344892651553,0.0
117.0,123.63344892651553,0.0
118.0,123.63344892651553,0.0
119.0,123.63344892651553,0.0
120.0,123.63344892651553,0.0
121.0,123.63344892651553,0.0
122.0,123.63344892651553,0.0
123.0,123.63344892651553,0.0
124.0,123.63344892651553,0.0
125.0,123.63344892651553,0.0
126.0,123.63344892651553,0.0
127.0,123.63344892651553,0.0
128.0,123.63344892651553,0.0
129.0,128.55349868366196,0.0
130.0,128.55349868366196,0.0
1.0,128.55349868366196,1.0
2.0,128.55349868366196,1.0
3.0,128.55349868366196,1.0
4.0,128.55349868366196,1.0
5.0,128.55349868366196,1.0
6.0,128.55349868366196,1.0
7.0,128.55349868366196,1.0
8.0,128.55349868366196,1.0
9.0,128.55349868366196,1.0
10.0,128.55349868366196,1.0
11.0,128.55349868366196,1.0
12.0,128.55349868366196,1.0
13.0,128.55349868366196,1.0
14.0,128.55349868366196,1.0
15.0,130.08140611544695,1.0
16.0,130.08140611544695,1.0
17.0,130.08140611544695,1.0
18.0,130.08140611544695,1.0
19.0,130.08140611544695,1.0
20.0,130.08140611544695,1.0
21.0,130.08140611544695,1.0
22.0,130.08140611544695,1.0
23.0,130.08140611544695,1.0
24.0,130.08140611544695,1.0
25.0,130.08140611544695,1.0
26.0,130.08140611544695,1.0
27.0,130.08140611544695,1.0
28.0,130.08140611544695,1.0
29.0,130.08140611544695,1.0
30.0,130.08140611544695,1.0
31.0,130.08140611544695,1.0
32.0,130.08140611544695,1.0
33.0,130.08140611544695,1.0
34.0,130.08140611544695,1.0
35.0,130.08140611544695,1.0
36.0,130.08140611544695,1.0
37.0,130.08140611544695,1.0
38.0,130.08140611544695,1.0
39.0,130.26354202709751,1.0
40.0,130.26354202709751,1.0
41.0,130.26354202709751,1.0
42.0,130.26354202709751,1.0
43.0,130.26354202709751,1.0
44.0,131.0370576683693,1.0
45.0,131.0370576683693,1.0
46.0,131.0370576683693,1.0
47.0,131.0997096041743,1.0
48.0,131.0997096041743,1.0
49.0,131.0997096041743,1.0
50.0,131.0997096041743,1.0
51.0,131.0997096041743,1.0
52.0,131.0997096041743,1.0
53.0,131.0997096041743,1.0
54.0,131.0997096041743,1.0
55.0,131.0997096041743,1.0
56.0,131.0997096041743,1.0
57.0,131.0997096041743,1.0
58.0,131.0997096041743,1.0
59.0,131.0997096041743,1.0
60.0,131.0997096041743,1.0
61.0,131.0997096041743,1.0
62.0,131.0997096041743,1.0
63.0,131.0997096041743,1.0
64.0,131.0997096041743,1.0
65.0,131.0997096041743,1.0
66.0,131.0997096041743,1.0
67.0,131.0997096041743,1.0
68.0,131.0997096041743,1.0
69.0,131.14922091025682,1.0
70.0,131.14922091025682,1.0
71.0,131.14922091025682,1.0
72.0,131.14922091025682,1.0
73.0,131.14922091025682,1.0
74.0,131.14922091025682,1.0
75.0,131.14922091025682,1.0
76.0,131.14922091025682,1.0
77.0,131.14922091025682,1.0
78.0,131.14922091025682,1.0
79.0,131.14922091025682,1.0
80.0,131.14922091025682,1.0
81.0,131.14922091025682,1.0
82.0,131.14922091025682,1.0
83.0,131.14922091025682,1.0
84.0,131.14922091025682,1.0
85.0,147.13009209127807,1.0
86.0,147.13009209127807,1.0
87.0,147.13009209127807,1.0
88.0,147.13009209127807,1.0
89.0,147.13009209127807,1.0
90.0,147.13009209127807,1.0
91.0,147.13009209127807,1.0
92.0,147.13009209127807,1.0
93.0,147.13009209127807,1.0
94.0,147.13009209127807,1.0
95.0,147.13009209127807,1.0
96.0,147.13009209127807,1.0
97.0,147.13009209127807,1.0
98.0,147.13009209127807,1.0
99.0,147.13009209127807,1.0
100.0,147.13009209127807,1.0
101.0,147.13009209127807,1.0
102.0,147.13009209127807,1.0
103.0,147.13009209127807,1.0
104.0,147.13009209127807,1.0
105.0,147.13009209127807,1.0
106.0,147.13009209127807,1.0
107.0,147.13009209127807,1.0
108.0,147.13009209127807,1.0
109.0,147.13009209127807,1.0
110.0,147.13009209127807,1.0
111.0,147.13009209127807,1.0
112.0,147.13009209127807,1.0
113.0,147.13009209127807,1.0
114.0,147.13009209127807,1.0
115.0,147.13009209127807,1.0
116.0,147.13009209127807,1.0
117.0,147.13009209127807,1.0
118.0,147.13009209127807,1.0
119.0,147.13009209127807,1.0
120.0,147.13009209127807,1.0
121.0,147.13009209127807,1.0
122.0,147.13009209127807,1.0
123.0,147.13009209127807,1.0
124.0,147.13009209127807,1.0
125.0,147.13009209127807,1.0
126.0,147.13009209127807,1.0
127.0,147.13009209127807,1.0
128.0,147.13009209127807,1.0
129.0,147.13009209127807,1.0
130.0,147.13009209127807,1.0
1.0,147.13009209127807,2.0
2.0,147.13009209127807,2.0
3.0,147.13009209127807,2.0
4.0,147.13009209127807,2.0
5.0,147.13009209127807,2.0
6.0,147.13009209127807,2.0
7.0,147.13009209127807,2.0
8.0,147.13009209127807,2.0
9.0,147.13009209127807,2.0
10.0,147.13009209127807,2.0
11.0,147.13009209127807,2.0
12.0,147.13009209127807,2.0
13.0,147.13009209127807,2.0
14.0,147.13009209127807,2.0
15.0,147.13009209127807,2.0
16.0,147.13009209127807,2.0
17.0,147.13009209127807,2.0
18.0,147.13009209127807,2.0
19.0,147.13009209127807,2.0
20.0,147.13009209127807,2.0
21.0,147.13009209127807,2.0
22.0,147.13009209127807,2.0
23.0,147.13009209127807,2.0
24.0,147.13009209127807,2.0
25.0,147.13009209127807,2.0
26.0,147.13009209127807,2.0
27.0,147.13009209127807,2.0
28.0,147.13009209127807,2.0
29.0,147.13009209127807,2.0
30.0,147.13009209127807,2.0
31.0,147.13009209127807,2.0
32.0,147.13009209127807,2.0
33.0,147.13009209127807,2.0
34.0,147.13009209127807,2.0
35.0,147.13009209127807,2.0
36.0,147.13009209127807,2.0
37.0,147.13009209127807,2.0
38.0,147.13009209127807,2.0
39.0,147.13009209127807,2.0
40.0,147.13009209127807,2.0
41.0,147.13009209127807,2.0
42.0,147.13009209127807,2.0
43.0,147.13009209127807,2.0
44.0,147.13009209127807,2.0
45.0,147.13009209127807,2.0
46.0,147.13009209127807,2.0
47.0,147.13009209127807,2.0
48.0,147.13009209127807,2.0
49.0,147.13009209127807,2.0
50.0,147.13009209127807,2.0
51.0,147.13009209127807,2.0
52.0,147.13009209127807,2.0
53.0,147.13009209127807,2.0
54.0,147.13009209127807,2.0
55.0,147.13009209127807,2.0
56.0,147.13009209127807,2.0
57.0,147.13009209127807,2.0
58.0,147.13009209127807,2.0
59.0,147.13009209127807,2.0
60.0,147.13009209127807,2.0
61.0,147.13009209127807,2.0
62.0,147.13009209127807,2.0
63.0,147.13009209127807,2.0
64.0,147.13009209127807,2.0
65.0,147.13009209127807,2.0
66.0,147.13009209127807,2.0
67.0,147.13009209127807,2.0
68.0,147.13009209127807,2.0
69.0,147.13009209127807,2.0
70.0,147.13009209127807,2.0
71.0,147.13009209127807,2.0
72.0,147.13009209127807,2.0
73.0,147.13009209127807,2.0
74.0,147.13009209127807,2.0
75.0,147.13009209127807,2.0
76.0,147.13009209127807,2.0
77.0,147.13009209127807,2.0
78.0,147.13009209127807,2.0
79.0,147.13009209127807,2.0
80.0,147.13009209127807,2.0
81.0,147.13009209127807,2.0
82.0,147.13009209127807,2.0
83.0,147.13009209127807,2.0
84.0,147.13009209127807,2.0
85.0,147.13009209127807,2.0
86.0,147.13009209127807,2.0
87.0,147.13009209127807,2.0
88.0,147.13009209127807,2.0
89.0,147.13009209127807,2.0
90.0,147.13009209127807,2.0
91.0,147.13009209127807,2.0
92.0,147.13009209127807,2.0
93.0,147.13009209127807,2.0
94.0,147.13009209127807,2.0
95.0,147.13009209127807,2.0
96.0,147.13009209127807,2.0
97.0,147.13009209127807,2.0
98.0,147.13009209127807,2.0
99.0,147.13009209127807,2.0
100.0,147.13009209127807,2.0
101.0,147.13009209127807,2.0
102.0,147.13009209127807,2.0
103.0,147.13009209127807,2.0
104.0,147.13009209127807,2.0
105.0,147.13009209127807,2.0
106.0,147.13009209127807,2.0
107.0,147.13009209127807,2.0
108.0,147.13009209127807,2.0
109.0,147.13009209127807,2.0
110.0,147.13009209127807,2.0
111.0,147.13009209127807,2.0
112.0,147.13009209127807,2.0
113.0,147.13009209127807,2.0
114.0,147.13009209127807,2.0
115.0,147.13009209127807,2.0
116.0,147.13009209127807,2.0
117.0,147.13009209127807,2.0
118.0,147.13009209127807,2.0
119.0,147.13009209127807,2.0
120.0,147.13009209127807,2.0
121.0,147.13009209127807,2.0
122.0,147.13009209127807,2.0
123.0,147.13009209127807,2.0
124.0,147.13009209127807,2.0
125.0,147.13009209127807,2.0
126.0,147.13009209127807,2.0
127.0,147.13009209127807,2.0
128.0,147.13009209127807,2.0
129.0,147.13009209127807,2.0
130.0,147.13009209127807,2.0
1.0,154.35403418464597,3.0
2.0,154.35403418464597,3.0
3.0,154.35403418464597,3.0
4.0,154.35403418464597,3.0
5.0,154.35403418464597,3.0
6.0,154.35403418464597,3.0
7.0,154.35403418464597,3.0
8.0,154.35403418464597,3.0
9.0,154.35403418464597,3.0
10.0,154.35403418464597,3.0
11.0,154.35403418464597,3.0
12.0,154.35403418464597,3.0
13.0,154.35403418464597,3.0
14.0,154.35403418464597,3.0
15.0,154.35403418464597,3.0
16.0,154.35403418464597,3.0
17.0,154.35403418464597,3.0
18.0,154.35403418464597,3.0
19.0,154.35403418464597,3.0
20.0,154.35403418464597,3.0
21.0,154.35403418464597,3.0
22.0,154.35403418464597,3.0
23.0,154.35403418464597,3.0
24.0,154.35403418464597,3.0
25.0,154.35403418464597,3.0
26.0,154.35403418464597,3.0
27.0,154.35403418464597,3.0
28.0,154.35403418464597,3.0
29.0,154.35403418464597,3.0
30.0,154.35403418464597,3.0
31.0,154.35403418464597,3.0
32.0,154.35403418464597,3.0
33.0,154.35403418464597,3.0
34.0,154.35403418464597,3.0
35.0,154.35403418464597,3.0
36.0,154.35403418464597,3.0
37.0,154.35403418464597,3.0
38.0,154.35403418464597,3.0
39.0,154.35403418464597,3.0
40.0,154.35403418464597,3.0
41.0,154.35403418464597,3.0
42.0,154.35403418464597,3.0
43.0,154.35403418464597,3.0
44.0,154.35403418464597,3.0
45.0,154.35403418464597,3.0
46.0,154.35403418464597,3.0
47.0,154.35403418464597,3.0
48.0,154.35403418464597,3.0
49.0,154.35403418464597,3.0
50.0,154.35403418464597,3.0
51.0,154.35403418464597,3.0
52.0,154.35403418464597,3.0
53.0,154.35403418464597,3.0
54.0,154.35403418464597,3.0
55.0,154.35403418464597,3.0
56.0,154.35403418464597,3.0
57.0,154.35403418464597,3.0
58.0,154.35403418464597,3.0
59.0,154.35403418464597,3.0
60.0,154.35403418464597,3.0
61.0,154.35403418464597,3.0
62.0,154.35403418464597,3.0
63.0,154.35403418464597,3.0
64.0,154.35403418464597,3.0
65.0,154.35403418464597,3.0
66.0,154.35403418464597,3.0
67.0,154.35403418464597,3.0
68.0,154.35403418464597,3.0
69.0,154.35403418464597,3.0
70.0,154.35403418464597,3.0
71.0,154.35403418464597,3.0
72.0,154.35403418464597,3.0
73.0,154.35403418464597,3.0
74.0,154.35403418464597,3.0
75.0,154.35403418464597,3.0
76.0,154.35403418464597,3.0
77.0,154.35403418464597,3.0
78.0,154.35403418464597,3.0
79.0,154.35403418464597,3.0
80.0,154.35403418464597,3.0
81.0,154.35403418464597,3.0
82.0,154.35403418464597,3.0
83.0,154.35403418464597,3.0
84.0,154.35403418464597,3.0
85.0,154.35403418464597,3.0
86.0,154.35403418464597,3.0
87.0,154.35403418464597,3.0
88.0,154.35403418464597,3.0
89.0,154.35403418464597,3.0
90.0,154.35403418464597,3.0
91.0,156.15664239106695,3.0
92.0,156.15664239106695,3.0
93.0,156.15664239106695,3.0
94.0,156.15664239106695,3.0
95.0,156.15664239106695,3.0
96.0,156.15664239106695,3.0
97.0,156.15664239106695,3.0
98.0,156.15664239106695,3.0
99.0,156.15664239106695,3.0
100.0,156.15664239106695,3.0
101.0,156.15664239106695,3.0
102.0,156.15664239106695,3.0
103.0,156.15664239106695,3.0
104.0,156.15664239106695,3.0
105.0,156.15664239106695,3.0
106.0,156.15664239106695,3.0
107.0,156.15664239106695,3.0
108.0,156.15664239106695,3.0
109.0,156.15664239106695,3.0
110.0,156.15664239106695,3.0
111.0,156.15664239106695,3.0
112.0,156.15664239106695,3.0
113.0,156.15664239106695,3.0
114.0,156.15664239106695,3.0
115.0,156.15664239106695,3.0
116.0,156.15664239106695,3.0
117.0,156.15664239106695,3.0
118.0,156.15664239106695,3.0
119.0,156.15664239106695,3.0
120.0,156.15664239106695,3.0
121.0,156.15664239106695,3.0
122.0,156.15664239106695,3.0
123.0,156.15664239106695,3.0
124.0,156.15664239106695,3.0
125.0,156.15664239106695,3.0
126.0,156.15664239106695,3.0
127.0,156.15664239106695,3.0
128.0,156.15664239106695,3.0
129.0,156.15664239106695,3.0
130.0,156.15664239106695,3.0
